
Epoch 0, 25%	 Loss : 9.0498e-04	 RES : 3.3792e-05	 MSE : 4.6059e-04	 REL : 1.0435e+00
Epoch 214, 50%	 Loss : 4.8850e-05	 RES : 9.4402e-08	 MSE : 2.7174e-05	 REL : 2.5575e-01
Epoch 214, 75%	 Loss : 5.5819e-05	 RES : 1.1033e-07	 MSE : 2.8726e-05	 REL : 2.4848e-01
Training Epoch 214 :	 Loss : 5.0625e-05 	 RES : 9.7566e-08	 MSE : 2.9502e-05	 REL : 2.5833e-01
Validation Epoch 214 :	 Loss : 5.0388e-05	 RES : 9.6413e-08	 MSE : 2.8259e-05	 REL : 2.5315e-01
Training Epoch 214 finished,took current epoch 188.87s,cumulative time 40507.06s
MODEL SAVED
Learning Rate : 0.001
Epoch 215, 25%	 Loss : 4.9190e-05	 RES : 9.0359e-08	 MSE : 2.5438e-05	 REL : 2.4523e-01
Epoch 215, 50%	 Loss : 4.8847e-05	 RES : 9.4313e-08	 MSE : 2.7176e-05	 REL : 2.5576e-01
Epoch 215, 75%	 Loss : 5.5816e-05	 RES : 1.1018e-07	 MSE : 2.8718e-05	 REL : 2.4844e-01
Training Epoch 215 :	 Loss : 5.0622e-05 	 RES : 9.7489e-08	 MSE : 2.9491e-05	 REL : 2.5828e-01
Validation Epoch 215 :	 Loss : 5.0385e-05	 RES : 9.6314e-08	 MSE : 2.8245e-05	 REL : 2.5309e-01
Training Epoch 215 finished,took current epoch 188.51s,cumulative time 40695.39s
MODEL SAVED
Learning Rate : 0.001
Epoch 216, 25%	 Loss : 4.9188e-05	 RES : 9.0380e-08	 MSE : 2.5478e-05	 REL : 2.4542e-01
Epoch 216, 50%	 Loss : 4.8845e-05	 RES : 9.4259e-08	 MSE : 2.7164e-05	 REL : 2.5570e-01
Epoch 216, 75%	 Loss : 5.5812e-05	 RES : 1.1004e-07	 MSE : 2.8704e-05	 REL : 2.4838e-01
Training Epoch 216 :	 Loss : 5.0619e-05 	 RES : 9.7402e-08	 MSE : 2.9477e-05	 REL : 2.5822e-01
Validation Epoch 216 :	 Loss : 5.0382e-05	 RES : 9.6224e-08	 MSE : 2.8233e-05	 REL : 2.5304e-01
Training Epoch 216 finished,took current epoch 189.62s,cumulative time 40884.79s
MODEL SAVED
Learning Rate : 0.001
Epoch 217, 25%	 Loss : 4.9187e-05	 RES : 9.0315e-08	 MSE : 2.5484e-05	 REL : 2.4546e-01
Epoch 217, 50%	 Loss : 4.8842e-05	 RES : 9.4202e-08	 MSE : 2.7158e-05	 REL : 2.5567e-01
Epoch 217, 75%	 Loss : 5.5808e-05	 RES : 1.0989e-07	 MSE : 2.8687e-05	 REL : 2.4831e-01
Training Epoch 217 :	 Loss : 5.0617e-05 	 RES : 9.7315e-08	 MSE : 2.9464e-05	 REL : 2.5816e-01
Validation Epoch 217 :	 Loss : 5.0380e-05	 RES : 9.6143e-08	 MSE : 2.8226e-05	 REL : 2.5301e-01
Training Epoch 217 finished,took current epoch 189.39s,cumulative time 41073.92s
MODEL SAVED
Learning Rate : 0.001
Epoch 218, 25%	 Loss : 4.9184e-05	 RES : 9.0236e-08	 MSE : 2.5486e-05	 REL : 2.4546e-01
Epoch 218, 50%	 Loss : 4.8840e-05	 RES : 9.4139e-08	 MSE : 2.7146e-05	 REL : 2.5561e-01
Epoch 218, 75%	 Loss : 5.5805e-05	 RES : 1.0970e-07	 MSE : 2.8699e-05	 REL : 2.4836e-01
Training Epoch 218 :	 Loss : 5.0614e-05 	 RES : 9.7225e-08	 MSE : 2.9448e-05	 REL : 2.5809e-01
Validation Epoch 218 :	 Loss : 5.0378e-05	 RES : 9.6130e-08	 MSE : 2.8214e-05	 REL : 2.5295e-01
Training Epoch 218 finished,took current epoch 189.29s,cumulative time 41263.01s
MODEL SAVED
Learning Rate : 0.001
Epoch 219, 25%	 Loss : 4.9182e-05	 RES : 9.0209e-08	 MSE : 2.5471e-05	 REL : 2.4539e-01
Epoch 219, 50%	 Loss : 4.8837e-05	 RES : 9.4056e-08	 MSE : 2.7167e-05	 REL : 2.5571e-01
Epoch 219, 75%	 Loss : 5.5801e-05	 RES : 1.0948e-07	 MSE : 2.8692e-05	 REL : 2.4833e-01
Training Epoch 219 :	 Loss : 5.0611e-05 	 RES : 9.7134e-08	 MSE : 2.9437e-05	 REL : 2.5805e-01
Validation Epoch 219 :	 Loss : 5.0375e-05	 RES : 9.6036e-08	 MSE : 2.8206e-05	 REL : 2.5291e-01
Training Epoch 219 finished,took current epoch 190.34s,cumulative time 41453.14s
MODEL SAVED
Learning Rate : 0.001
Epoch 220, 25%	 Loss : 4.9179e-05	 RES : 9.0127e-08	 MSE : 2.5494e-05	 REL : 2.4550e-01
Epoch 220, 50%	 Loss : 4.8832e-05	 RES : 9.3764e-08	 MSE : 2.7125e-05	 REL : 2.5552e-01
Epoch 220, 75%	 Loss : 5.5796e-05	 RES : 1.0922e-07	 MSE : 2.8718e-05	 REL : 2.4845e-01
Training Epoch 220 :	 Loss : 5.0608e-05 	 RES : 9.7023e-08	 MSE : 2.9420e-05	 REL : 2.5797e-01
Validation Epoch 220 :	 Loss : 5.0372e-05	 RES : 9.5866e-08	 MSE : 2.8163e-05	 REL : 2.5272e-01
Training Epoch 220 finished,took current epoch 188.67s,cumulative time 41641.61s
MODEL SAVED
Learning Rate : 0.001
Epoch 221, 25%	 Loss : 4.9177e-05	 RES : 9.0038e-08	 MSE : 2.5491e-05	 REL : 2.4549e-01
Epoch 221, 50%	 Loss : 4.8830e-05	 RES : 9.3703e-08	 MSE : 2.7149e-05	 REL : 2.5563e-01
Epoch 221, 75%	 Loss : 5.5793e-05	 RES : 1.0902e-07	 MSE : 2.8725e-05	 REL : 2.4847e-01
Training Epoch 221 :	 Loss : 5.0606e-05 	 RES : 9.6931e-08	 MSE : 2.9413e-05	 REL : 2.5794e-01
Validation Epoch 221 :	 Loss : 5.0370e-05	 RES : 9.5813e-08	 MSE : 2.8130e-05	 REL : 2.5257e-01
Training Epoch 221 finished,took current epoch 187.98s,cumulative time 41829.39s
MODEL SAVED
Learning Rate : 0.001
Epoch 222, 25%	 Loss : 4.9173e-05	 RES : 8.9785e-08	 MSE : 2.5416e-05	 REL : 2.4513e-01
Epoch 222, 50%	 Loss : 4.8827e-05	 RES : 9.3598e-08	 MSE : 2.7176e-05	 REL : 2.5576e-01
Epoch 222, 75%	 Loss : 5.5788e-05	 RES : 1.0884e-07	 MSE : 2.8765e-05	 REL : 2.4865e-01
Training Epoch 222 :	 Loss : 5.0603e-05 	 RES : 9.6831e-08	 MSE : 2.9403e-05	 REL : 2.5789e-01
Validation Epoch 222 :	 Loss : 5.0367e-05	 RES : 9.5651e-08	 MSE : 2.8165e-05	 REL : 2.5272e-01
Training Epoch 222 finished,took current epoch 189.52s,cumulative time 42018.67s
MODEL SAVED
Learning Rate : 0.001
Epoch 223, 25%	 Loss : 4.9169e-05	 RES : 8.9601e-08	 MSE : 2.5381e-05	 REL : 2.4496e-01
Epoch 223, 50%	 Loss : 4.8824e-05	 RES : 9.3451e-08	 MSE : 2.7167e-05	 REL : 2.5571e-01
Epoch 223, 75%	 Loss : 5.5785e-05	 RES : 1.0863e-07	 MSE : 2.8792e-05	 REL : 2.4876e-01
Training Epoch 223 :	 Loss : 5.0600e-05 	 RES : 9.6734e-08	 MSE : 2.9389e-05	 REL : 2.5783e-01
Validation Epoch 223 :	 Loss : 5.0365e-05	 RES : 9.5565e-08	 MSE : 2.8112e-05	 REL : 2.5249e-01
Training Epoch 223 finished,took current epoch 188.52s,cumulative time 42206.96s
MODEL SAVED
Learning Rate : 0.001
Epoch 224, 25%	 Loss : 4.9166e-05	 RES : 8.9432e-08	 MSE : 2.5313e-05	 REL : 2.4463e-01
Epoch 224, 50%	 Loss : 4.8822e-05	 RES : 9.3411e-08	 MSE : 2.7187e-05	 REL : 2.5581e-01
Epoch 224, 75%	 Loss : 5.5783e-05	 RES : 1.0853e-07	 MSE : 2.8773e-05	 REL : 2.4868e-01
Training Epoch 224 :	 Loss : 5.0598e-05 	 RES : 9.6633e-08	 MSE : 2.9374e-05	 REL : 2.5777e-01
Validation Epoch 224 :	 Loss : 5.0361e-05	 RES : 9.5463e-08	 MSE : 2.8104e-05	 REL : 2.5245e-01
Training Epoch 224 finished,took current epoch 188.86s,cumulative time 42395.56s
MODEL SAVED
Learning Rate : 0.001
Epoch 225, 25%	 Loss : 4.9164e-05	 RES : 8.9379e-08	 MSE : 2.5317e-05	 REL : 2.4465e-01
Epoch 225, 50%	 Loss : 4.8820e-05	 RES : 9.3437e-08	 MSE : 2.7210e-05	 REL : 2.5592e-01
Epoch 225, 75%	 Loss : 5.5778e-05	 RES : 1.0827e-07	 MSE : 2.8772e-05	 REL : 2.4868e-01
Training Epoch 225 :	 Loss : 5.0595e-05 	 RES : 9.6519e-08	 MSE : 2.9355e-05	 REL : 2.5768e-01
Validation Epoch 225 :	 Loss : 5.0359e-05	 RES : 9.5383e-08	 MSE : 2.8071e-05	 REL : 2.5230e-01
Training Epoch 225 finished,took current epoch 189.18s,cumulative time 42584.53s
MODEL SAVED
Learning Rate : 0.001
Epoch 226, 25%	 Loss : 4.9162e-05	 RES : 8.9342e-08	 MSE : 2.5283e-05	 REL : 2.4449e-01
Epoch 226, 50%	 Loss : 4.8817e-05	 RES : 9.3411e-08	 MSE : 2.7230e-05	 REL : 2.5601e-01
Epoch 226, 75%	 Loss : 5.5775e-05	 RES : 1.0817e-07	 MSE : 2.8766e-05	 REL : 2.4865e-01
Training Epoch 226 :	 Loss : 5.0592e-05 	 RES : 9.6424e-08	 MSE : 2.9347e-05	 REL : 2.5765e-01
Validation Epoch 226 :	 Loss : 5.0356e-05	 RES : 9.5256e-08	 MSE : 2.8071e-05	 REL : 2.5230e-01
Training Epoch 226 finished,took current epoch 189.63s,cumulative time 42773.96s
MODEL SAVED
Learning Rate : 0.001
Epoch 227, 25%	 Loss : 4.9161e-05	 RES : 8.9400e-08	 MSE : 2.5345e-05	 REL : 2.4478e-01
Epoch 227, 50%	 Loss : 4.8815e-05	 RES : 9.3346e-08	 MSE : 2.7240e-05	 REL : 2.5606e-01
Epoch 227, 75%	 Loss : 5.5772e-05	 RES : 1.0794e-07	 MSE : 2.8714e-05	 REL : 2.4843e-01
Training Epoch 227 :	 Loss : 5.0589e-05 	 RES : 9.6313e-08	 MSE : 2.9329e-05	 REL : 2.5757e-01
Validation Epoch 227 :	 Loss : 5.0354e-05	 RES : 9.5152e-08	 MSE : 2.8009e-05	 REL : 2.5203e-01
Training Epoch 227 finished,took current epoch 189.72s,cumulative time 42963.47s
MODEL SAVED
Learning Rate : 0.001
Epoch 228, 25%	 Loss : 4.9161e-05	 RES : 8.9516e-08	 MSE : 2.5377e-05	 REL : 2.4494e-01
Epoch 228, 50%	 Loss : 4.8813e-05	 RES : 9.3308e-08	 MSE : 2.7239e-05	 REL : 2.5605e-01
Epoch 228, 75%	 Loss : 5.5768e-05	 RES : 1.0774e-07	 MSE : 2.8674e-05	 REL : 2.4825e-01
Training Epoch 228 :	 Loss : 5.0587e-05 	 RES : 9.6236e-08	 MSE : 2.9326e-05	 REL : 2.5755e-01
Validation Epoch 228 :	 Loss : 5.0353e-05	 RES : 9.5206e-08	 MSE : 2.8008e-05	 REL : 2.5202e-01
Training Epoch 228 finished,took current epoch 188.26s,cumulative time 43151.62s
Learning Rate : 0.001
Epoch 229, 25%	 Loss : 4.9157e-05	 RES : 8.9303e-08	 MSE : 2.5326e-05	 REL : 2.4469e-01
Epoch 229, 50%	 Loss : 4.8811e-05	 RES : 9.3317e-08	 MSE : 2.7253e-05	 REL : 2.5612e-01
Epoch 229, 75%	 Loss : 5.5765e-05	 RES : 1.0758e-07	 MSE : 2.8678e-05	 REL : 2.4827e-01
Training Epoch 229 :	 Loss : 5.0585e-05 	 RES : 9.6153e-08	 MSE : 2.9314e-05	 REL : 2.5750e-01
Validation Epoch 229 :	 Loss : 5.0349e-05	 RES : 9.5000e-08	 MSE : 2.7978e-05	 REL : 2.5189e-01
Training Epoch 229 finished,took current epoch 190.09s,cumulative time 43341.49s
MODEL SAVED
Learning Rate : 0.001
Epoch 230, 25%	 Loss : 4.9154e-05	 RES : 8.9150e-08	 MSE : 2.5292e-05	 REL : 2.4453e-01
Epoch 230, 50%	 Loss : 4.8810e-05	 RES : 9.3435e-08	 MSE : 2.7275e-05	 REL : 2.5622e-01
Epoch 230, 75%	 Loss : 5.5761e-05	 RES : 1.0746e-07	 MSE : 2.8647e-05	 REL : 2.4814e-01
Training Epoch 230 :	 Loss : 5.0582e-05 	 RES : 9.6051e-08	 MSE : 2.9291e-05	 REL : 2.5740e-01
Validation Epoch 230 :	 Loss : 5.0347e-05	 RES : 9.4911e-08	 MSE : 2.7952e-05	 REL : 2.5177e-01
Training Epoch 230 finished,took current epoch 189.08s,cumulative time 43530.37s
MODEL SAVED
Learning Rate : 0.001
Epoch 231, 25%	 Loss : 4.9153e-05	 RES : 8.9192e-08	 MSE : 2.5296e-05	 REL : 2.4455e-01
Epoch 231, 50%	 Loss : 4.8806e-05	 RES : 9.3170e-08	 MSE : 2.7234e-05	 REL : 2.5603e-01
Epoch 231, 75%	 Loss : 5.5757e-05	 RES : 1.0731e-07	 MSE : 2.8605e-05	 REL : 2.4796e-01
Training Epoch 231 :	 Loss : 5.0579e-05 	 RES : 9.5960e-08	 MSE : 2.9278e-05	 REL : 2.5734e-01
Validation Epoch 231 :	 Loss : 5.0345e-05	 RES : 9.4839e-08	 MSE : 2.7940e-05	 REL : 2.5172e-01
Training Epoch 231 finished,took current epoch 188.42s,cumulative time 43718.59s
MODEL SAVED
Learning Rate : 0.001
Epoch 232, 25%	 Loss : 4.9150e-05	 RES : 8.9082e-08	 MSE : 2.5283e-05	 REL : 2.4448e-01
Epoch 232, 50%	 Loss : 4.8805e-05	 RES : 9.3232e-08	 MSE : 2.7269e-05	 REL : 2.5619e-01
Epoch 232, 75%	 Loss : 5.5754e-05	 RES : 1.0717e-07	 MSE : 2.8595e-05	 REL : 2.4791e-01
Training Epoch 232 :	 Loss : 5.0577e-05 	 RES : 9.5857e-08	 MSE : 2.9258e-05	 REL : 2.5725e-01
Validation Epoch 232 :	 Loss : 5.0342e-05	 RES : 9.4764e-08	 MSE : 2.7919e-05	 REL : 2.5162e-01
Training Epoch 232 finished,took current epoch 188.94s,cumulative time 43907.33s
MODEL SAVED
Learning Rate : 0.001
Epoch 233, 25%	 Loss : 4.9148e-05	 RES : 8.9134e-08	 MSE : 2.5311e-05	 REL : 2.4462e-01
Epoch 233, 50%	 Loss : 4.8801e-05	 RES : 9.3057e-08	 MSE : 2.7231e-05	 REL : 2.5601e-01
Epoch 233, 75%	 Loss : 5.5750e-05	 RES : 1.0701e-07	 MSE : 2.8592e-05	 REL : 2.4790e-01
Training Epoch 233 :	 Loss : 5.0574e-05 	 RES : 9.5775e-08	 MSE : 2.9246e-05	 REL : 2.5720e-01
Validation Epoch 233 :	 Loss : 5.0340e-05	 RES : 9.4711e-08	 MSE : 2.7950e-05	 REL : 2.5176e-01
Training Epoch 233 finished,took current epoch 189.97s,cumulative time 44097.08s
MODEL SAVED
Learning Rate : 0.001
Epoch 234, 25%	 Loss : 4.9144e-05	 RES : 8.8901e-08	 MSE : 2.5242e-05	 REL : 2.4429e-01
Epoch 234, 50%	 Loss : 4.8798e-05	 RES : 9.2930e-08	 MSE : 2.7198e-05	 REL : 2.5586e-01
Epoch 234, 75%	 Loss : 5.5747e-05	 RES : 1.0689e-07	 MSE : 2.8593e-05	 REL : 2.4790e-01
Training Epoch 234 :	 Loss : 5.0571e-05 	 RES : 9.5682e-08	 MSE : 2.9227e-05	 REL : 2.5712e-01
Validation Epoch 234 :	 Loss : 5.0336e-05	 RES : 9.4581e-08	 MSE : 2.7900e-05	 REL : 2.5154e-01
Training Epoch 234 finished,took current epoch 189.72s,cumulative time 44286.60s
MODEL SAVED
Learning Rate : 0.001
Epoch 235, 25%	 Loss : 4.9140e-05	 RES : 8.8744e-08	 MSE : 2.5206e-05	 REL : 2.4411e-01
Epoch 235, 50%	 Loss : 4.8797e-05	 RES : 9.3062e-08	 MSE : 2.7242e-05	 REL : 2.5607e-01
Epoch 235, 75%	 Loss : 5.5744e-05	 RES : 1.0675e-07	 MSE : 2.8566e-05	 REL : 2.4779e-01
Training Epoch 235 :	 Loss : 5.0568e-05 	 RES : 9.5590e-08	 MSE : 2.9203e-05	 REL : 2.5701e-01
Validation Epoch 235 :	 Loss : 5.0334e-05	 RES : 9.4502e-08	 MSE : 2.7872e-05	 REL : 2.5141e-01
Training Epoch 235 finished,took current epoch 188.45s,cumulative time 44474.84s
MODEL SAVED
Learning Rate : 0.001
Epoch 236, 25%	 Loss : 4.9138e-05	 RES : 8.8666e-08	 MSE : 2.5192e-05	 REL : 2.4404e-01
Epoch 236, 50%	 Loss : 4.8793e-05	 RES : 9.2777e-08	 MSE : 2.7165e-05	 REL : 2.5571e-01
Epoch 236, 75%	 Loss : 5.5741e-05	 RES : 1.0661e-07	 MSE : 2.8564e-05	 REL : 2.4778e-01
Training Epoch 236 :	 Loss : 5.0566e-05 	 RES : 9.5487e-08	 MSE : 2.9182e-05	 REL : 2.5692e-01
Validation Epoch 236 :	 Loss : 5.0331e-05	 RES : 9.4440e-08	 MSE : 2.7851e-05	 REL : 2.5132e-01
Training Epoch 236 finished,took current epoch 188.70s,cumulative time 44663.34s
MODEL SAVED
Learning Rate : 0.001
Epoch 237, 25%	 Loss : 4.9136e-05	 RES : 8.8640e-08	 MSE : 2.5202e-05	 REL : 2.4409e-01
Epoch 237, 50%	 Loss : 4.8794e-05	 RES : 9.2978e-08	 MSE : 2.7167e-05	 REL : 2.5571e-01
Epoch 237, 75%	 Loss : 5.5737e-05	 RES : 1.0648e-07	 MSE : 2.8532e-05	 REL : 2.4764e-01
Training Epoch 237 :	 Loss : 5.0563e-05 	 RES : 9.5389e-08	 MSE : 2.9163e-05	 REL : 2.5683e-01
Validation Epoch 237 :	 Loss : 5.0329e-05	 RES : 9.4371e-08	 MSE : 2.7833e-05	 REL : 2.5123e-01
Training Epoch 237 finished,took current epoch 189.41s,cumulative time 44852.53s
MODEL SAVED
Learning Rate : 0.001
Epoch 238, 25%	 Loss : 4.9133e-05	 RES : 8.8530e-08	 MSE : 2.5174e-05	 REL : 2.4396e-01
Epoch 238, 50%	 Loss : 4.8789e-05	 RES : 9.2693e-08	 MSE : 2.7109e-05	 REL : 2.5544e-01
Epoch 238, 75%	 Loss : 5.5734e-05	 RES : 1.0636e-07	 MSE : 2.8513e-05	 REL : 2.4756e-01
Training Epoch 238 :	 Loss : 5.0560e-05 	 RES : 9.5301e-08	 MSE : 2.9155e-05	 REL : 2.5680e-01
Validation Epoch 238 :	 Loss : 5.0326e-05	 RES : 9.4311e-08	 MSE : 2.7833e-05	 REL : 2.5123e-01
Training Epoch 238 finished,took current epoch 188.79s,cumulative time 45041.11s
MODEL SAVED
Learning Rate : 0.001
Epoch 239, 25%	 Loss : 4.9132e-05	 RES : 8.8588e-08	 MSE : 2.5179e-05	 REL : 2.4398e-01
Epoch 239, 50%	 Loss : 4.8788e-05	 RES : 9.2732e-08	 MSE : 2.7113e-05	 REL : 2.5546e-01
Epoch 239, 75%	 Loss : 5.5732e-05	 RES : 1.0628e-07	 MSE : 2.8503e-05	 REL : 2.4751e-01
Training Epoch 239 :	 Loss : 5.0558e-05 	 RES : 9.5220e-08	 MSE : 2.9138e-05	 REL : 2.5672e-01
Validation Epoch 239 :	 Loss : 5.0325e-05	 RES : 9.4303e-08	 MSE : 2.7829e-05	 REL : 2.5121e-01
Training Epoch 239 finished,took current epoch 188.71s,cumulative time 45229.63s
MODEL SAVED
Learning Rate : 0.001
Epoch 240, 25%	 Loss : 4.9128e-05	 RES : 8.8445e-08	 MSE : 2.5144e-05	 REL : 2.4381e-01
Epoch 240, 50%	 Loss : 4.8784e-05	 RES : 9.2493e-08	 MSE : 2.7073e-05	 REL : 2.5527e-01
Epoch 240, 75%	 Loss : 5.5728e-05	 RES : 1.0615e-07	 MSE : 2.8511e-05	 REL : 2.4755e-01
Training Epoch 240 :	 Loss : 5.0556e-05 	 RES : 9.5141e-08	 MSE : 2.9131e-05	 REL : 2.5669e-01
Validation Epoch 240 :	 Loss : 5.0322e-05	 RES : 9.4213e-08	 MSE : 2.7798e-05	 REL : 2.5107e-01
Training Epoch 240 finished,took current epoch 189.94s,cumulative time 45419.34s
MODEL SAVED
Learning Rate : 0.001
Epoch 241, 25%	 Loss : 4.9125e-05	 RES : 8.8290e-08	 MSE : 2.5102e-05	 REL : 2.4361e-01
Epoch 241, 50%	 Loss : 4.8785e-05	 RES : 9.2642e-08	 MSE : 2.7117e-05	 REL : 2.5548e-01
Epoch 241, 75%	 Loss : 5.5726e-05	 RES : 1.0604e-07	 MSE : 2.8518e-05	 REL : 2.4758e-01
Training Epoch 241 :	 Loss : 5.0553e-05 	 RES : 9.5050e-08	 MSE : 2.9112e-05	 REL : 2.5660e-01
Validation Epoch 241 :	 Loss : 5.0320e-05	 RES : 9.4117e-08	 MSE : 2.7787e-05	 REL : 2.5102e-01
Training Epoch 241 finished,took current epoch 188.32s,cumulative time 45607.47s
MODEL SAVED
Learning Rate : 0.001
Epoch 242, 25%	 Loss : 4.9122e-05	 RES : 8.8229e-08	 MSE : 2.5071e-05	 REL : 2.4346e-01
Epoch 242, 50%	 Loss : 4.8780e-05	 RES : 9.2331e-08	 MSE : 2.7054e-05	 REL : 2.5518e-01
Epoch 242, 75%	 Loss : 5.5722e-05	 RES : 1.0589e-07	 MSE : 2.8491e-05	 REL : 2.4746e-01
Training Epoch 242 :	 Loss : 5.0551e-05 	 RES : 9.4947e-08	 MSE : 2.9092e-05	 REL : 2.5651e-01
Validation Epoch 242 :	 Loss : 5.0317e-05	 RES : 9.4016e-08	 MSE : 2.7759e-05	 REL : 2.5089e-01
Training Epoch 242 finished,took current epoch 188.09s,cumulative time 45795.35s
MODEL SAVED
Learning Rate : 0.001
Epoch 243, 25%	 Loss : 4.9120e-05	 RES : 8.8124e-08	 MSE : 2.5049e-05	 REL : 2.4335e-01
Epoch 243, 50%	 Loss : 4.8779e-05	 RES : 9.2252e-08	 MSE : 2.7010e-05	 REL : 2.5497e-01
Epoch 243, 75%	 Loss : 5.5719e-05	 RES : 1.0572e-07	 MSE : 2.8449e-05	 REL : 2.4728e-01
Training Epoch 243 :	 Loss : 5.0548e-05 	 RES : 9.4850e-08	 MSE : 2.9067e-05	 REL : 2.5640e-01
Validation Epoch 243 :	 Loss : 5.0316e-05	 RES : 9.3988e-08	 MSE : 2.7751e-05	 REL : 2.5086e-01
Training Epoch 243 finished,took current epoch 188.57s,cumulative time 45983.71s
MODEL SAVED
Learning Rate : 0.001
Epoch 244, 25%	 Loss : 4.9118e-05	 RES : 8.8111e-08	 MSE : 2.5035e-05	 REL : 2.4328e-01
Epoch 244, 50%	 Loss : 4.8778e-05	 RES : 9.2336e-08	 MSE : 2.7040e-05	 REL : 2.5511e-01
Epoch 244, 75%	 Loss : 5.5715e-05	 RES : 1.0562e-07	 MSE : 2.8413e-05	 REL : 2.4712e-01
Training Epoch 244 :	 Loss : 5.0546e-05 	 RES : 9.4765e-08	 MSE : 2.9051e-05	 REL : 2.5633e-01
Validation Epoch 244 :	 Loss : 5.0314e-05	 RES : 9.3919e-08	 MSE : 2.7766e-05	 REL : 2.5092e-01
Training Epoch 244 finished,took current epoch 187.70s,cumulative time 46171.19s
MODEL SAVED
Learning Rate : 0.001
Epoch 245, 25%	 Loss : 4.9115e-05	 RES : 8.7983e-08	 MSE : 2.4997e-05	 REL : 2.4310e-01
Epoch 245, 50%	 Loss : 4.8774e-05	 RES : 9.1980e-08	 MSE : 2.6973e-05	 REL : 2.5480e-01
Epoch 245, 75%	 Loss : 5.5712e-05	 RES : 1.0551e-07	 MSE : 2.8363e-05	 REL : 2.4691e-01
Training Epoch 245 :	 Loss : 5.0544e-05 	 RES : 9.4679e-08	 MSE : 2.9039e-05	 REL : 2.5628e-01
Validation Epoch 245 :	 Loss : 5.0312e-05	 RES : 9.3873e-08	 MSE : 2.7700e-05	 REL : 2.5063e-01
Training Epoch 245 finished,took current epoch 188.57s,cumulative time 46359.54s
MODEL SAVED
Learning Rate : 0.001
Epoch 246, 25%	 Loss : 4.9115e-05	 RES : 8.8088e-08	 MSE : 2.5032e-05	 REL : 2.4327e-01
Epoch 246, 50%	 Loss : 4.8772e-05	 RES : 9.1876e-08	 MSE : 2.6938e-05	 REL : 2.5463e-01
Epoch 246, 75%	 Loss : 5.5708e-05	 RES : 1.0539e-07	 MSE : 2.8350e-05	 REL : 2.4685e-01
Training Epoch 246 :	 Loss : 5.0541e-05 	 RES : 9.4598e-08	 MSE : 2.9022e-05	 REL : 2.5621e-01
Validation Epoch 246 :	 Loss : 5.0309e-05	 RES : 9.3776e-08	 MSE : 2.7677e-05	 REL : 2.5052e-01
Training Epoch 246 finished,took current epoch 188.55s,cumulative time 46547.92s
MODEL SAVED
Learning Rate : 0.001
Epoch 247, 25%	 Loss : 4.9115e-05	 RES : 8.8210e-08	 MSE : 2.5111e-05	 REL : 2.4365e-01
Epoch 247, 50%	 Loss : 4.8770e-05	 RES : 9.1777e-08	 MSE : 2.6928e-05	 REL : 2.5459e-01
Epoch 247, 75%	 Loss : 5.5706e-05	 RES : 1.0534e-07	 MSE : 2.8302e-05	 REL : 2.4664e-01
Training Epoch 247 :	 Loss : 5.0539e-05 	 RES : 9.4517e-08	 MSE : 2.9009e-05	 REL : 2.5615e-01
Validation Epoch 247 :	 Loss : 5.0307e-05	 RES : 9.3719e-08	 MSE : 2.7671e-05	 REL : 2.5049e-01
Training Epoch 247 finished,took current epoch 188.26s,cumulative time 46735.99s
MODEL SAVED
Learning Rate : 0.001
Epoch 248, 25%	 Loss : 4.9113e-05	 RES : 8.8131e-08	 MSE : 2.5094e-05	 REL : 2.4357e-01
Epoch 248, 50%	 Loss : 4.8769e-05	 RES : 9.1822e-08	 MSE : 2.6928e-05	 REL : 2.5458e-01
Epoch 248, 75%	 Loss : 5.5703e-05	 RES : 1.0525e-07	 MSE : 2.8297e-05	 REL : 2.4662e-01
Training Epoch 248 :	 Loss : 5.0537e-05 	 RES : 9.4432e-08	 MSE : 2.8995e-05	 REL : 2.5608e-01
Validation Epoch 248 :	 Loss : 5.0305e-05	 RES : 9.3643e-08	 MSE : 2.7661e-05	 REL : 2.5045e-01
Training Epoch 248 finished,took current epoch 188.71s,cumulative time 46924.48s
MODEL SAVED
Learning Rate : 0.001
Epoch 249, 25%	 Loss : 4.9109e-05	 RES : 8.7984e-08	 MSE : 2.5053e-05	 REL : 2.4337e-01
Epoch 249, 50%	 Loss : 4.8765e-05	 RES : 9.1600e-08	 MSE : 2.6874e-05	 REL : 2.5433e-01
Epoch 249, 75%	 Loss : 5.5699e-05	 RES : 1.0514e-07	 MSE : 2.8264e-05	 REL : 2.4647e-01
Training Epoch 249 :	 Loss : 5.0534e-05 	 RES : 9.4336e-08	 MSE : 2.8975e-05	 REL : 2.5599e-01
Validation Epoch 249 :	 Loss : 5.0303e-05	 RES : 9.3604e-08	 MSE : 2.7665e-05	 REL : 2.5046e-01
Training Epoch 249 finished,took current epoch 188.43s,cumulative time 47112.73s
MODEL SAVED
Learning Rate : 0.001
Epoch 250, 25%	 Loss : 4.9108e-05	 RES : 8.8021e-08	 MSE : 2.5089e-05	 REL : 2.4355e-01
Epoch 250, 50%	 Loss : 4.8765e-05	 RES : 9.1648e-08	 MSE : 2.6890e-05	 REL : 2.5441e-01
Epoch 250, 75%	 Loss : 5.5696e-05	 RES : 1.0503e-07	 MSE : 2.8272e-05	 REL : 2.4651e-01
